Virtual: 36922, Physical:  1850, Value:  36, TLB hit: false, PT hit: false 
Virtual: 59162, Physical: 10266, Value:  57, TLB hit: false, PT hit: true 
Virtual: 50552, Physical:  2168, Value:   0, TLB hit: false, PT hit: false 
Virtual: 17866, Physical:  9930, Value:  17, TLB hit: false, PT hit: true 
Virtual: 18145, Physical:  2529, Value:   0, TLB hit: false, PT hit: false 
Virtual:  3884, Physical:  2604, Value:   0, TLB hit: false, PT hit: false 
Virtual: 54388, Physical:  2932, Value:   0, TLB hit: false, PT hit: false 
Virtual: 42932, Physical:  3252, Value:   0, TLB hit: false, PT hit: false 
Virtual: 46919, Physical:  3399, Value: 209, TLB hit: false, PT hit: false 
Virtual: 58892, Physical: 14860, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8620, Physical:  3756, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38336, Physical:  4032, Value:   0, TLB hit: false, PT hit: false 
Virtual: 64357, Physical:  4965, Value:   0, TLB hit: false, PT hit: true 
Virtual: 23387, Physical:  4187, Value: 214, TLB hit: false, PT hit: false 
Virtual: 42632, Physical:  4488, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15913, Physical:  4649, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15679, Physical: 11839, Value:  79, TLB hit: false, PT hit: true 
Virtual: 22501, Physical: 11493, Value:   0, TLB hit: false, PT hit: true 
Virtual: 37540, Physical:  5028, Value:   0, TLB hit: false, PT hit: false 
Virtual:  5527, Physical:  5271, Value: 101, TLB hit: false, PT hit: false 
Virtual: 63921, Physical:  5553, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62716, Physical:  5884, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32874, Physical:  5994, Value:  32, TLB hit: false, PT hit: false 
Virtual: 64390, Physical:  6278, Value:  62, TLB hit: false, PT hit: false 
Virtual: 63101, Physical:  6525, Value:   0, TLB hit: false, PT hit: false 
Virtual: 61802, Physical:  6762, Value:  60, TLB hit: false, PT hit: false 
Virtual: 19648, Physical:  7104, Value:   0, TLB hit: false, PT hit: false 
Virtual: 29031, Physical:   103, Value:  89, TLB hit: false, PT hit: true 
Virtual: 44981, Physical: 13237, Value:   0, TLB hit: false, PT hit: true 
Virtual: 28092, Physical:  7356, Value:   0, TLB hit: false, PT hit: false 
Virtual:  9448, Physical:  7656, Value:   0, TLB hit: false, PT hit: false 
Virtual: 44744, Physical: 11208, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61496, Physical:  7736, Value:   0, TLB hit: false, PT hit: false 
Virtual: 31453, Physical:  8157, Value:   0, TLB hit: false, PT hit: false 
Virtual: 60746, Physical:  8266, Value:  59, TLB hit: false, PT hit: false 
Virtual: 12199, Physical:  8615, Value: 233, TLB hit: false, PT hit: false 
Virtual: 62255, Physical:  8751, Value: 203, TLB hit: false, PT hit: false 
Virtual: 21793, Physical:  8993, Value:   0, TLB hit: false, PT hit: false 
Virtual: 26544, Physical:  9392, Value:   0, TLB hit: false, PT hit: false 
Virtual: 14964, Physical:  9588, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41462, Physical:  9974, Value:  40, TLB hit: false, PT hit: false 
Virtual: 56089, Physical: 10009, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52038, Physical: 10310, Value:  50, TLB hit: false, PT hit: false 
Virtual: 47982, Physical: 10606, Value:  46, TLB hit: false, PT hit: false 
Virtual: 59484, Physical: 10844, Value:   0, TLB hit: false, PT hit: false 
Virtual: 50924, Physical: 11244, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6942, Physical: 11294, Value:   6, TLB hit: false, PT hit: false 
Virtual: 34998, Physical: 11702, Value:  34, TLB hit: false, PT hit: false 
Virtual: 27069, Physical: 11965, Value:   0, TLB hit: false, PT hit: false 
Virtual: 51926, Physical: 12246, Value:  50, TLB hit: false, PT hit: false 
Virtual: 60645, Physical: 12517, Value:   0, TLB hit: false, PT hit: false 
Virtual: 43181, Physical:  1197, Value:   0, TLB hit: false, PT hit: true 
Virtual: 10559, Physical: 12607, Value:  79, TLB hit: false, PT hit: false 
Virtual:  4664, Physical: 12856, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28578, Physical: 13218, Value:  27, TLB hit: false, PT hit: false 
Virtual: 59516, Physical: 10876, Value:   0, TLB hit: true
Virtual: 38912, Physical: 13312, Value:   0, TLB hit: false, PT hit: false 
Virtual: 63562, Physical: 13642, Value:  62, TLB hit: false, PT hit: false 
Virtual: 64846, Physical: 13902, Value:  63, TLB hit: false, PT hit: false 
Virtual: 62938, Physical: 14298, Value:  61, TLB hit: false, PT hit: false 
Virtual: 27194, Physical: 14394, Value:  26, TLB hit: false, PT hit: false 
Virtual: 28804, Physical: 14724, Value:   0, TLB hit: false, PT hit: false 
Virtual: 61703, Physical:  6663, Value:  65, TLB hit: false, PT hit: true 
Virtual: 10998, Physical: 15094, Value:  10, TLB hit: false, PT hit: false 
Virtual:  6596, Physical: 15300, Value:   0, TLB hit: false, PT hit: false 
Virtual: 37721, Physical: 15449, Value:   0, TLB hit: false, PT hit: false 
Virtual: 43430, Physical: 15782, Value:  42, TLB hit: false, PT hit: false 
Virtual: 22692, Physical: 16036, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62971, Physical: 14331, Value: 126, TLB hit: true
Virtual: 47125, Physical: 16149, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52521, Physical:    41, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34646, Physical:  1622, Value:  33, TLB hit: false, PT hit: true 
Virtual: 32889, Physical:  6009, Value:   0, TLB hit: false, PT hit: true 
Virtual: 13055, Physical:   511, Value: 191, TLB hit: false, PT hit: false 
Virtual: 65416, Physical:   648, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62869, Physical: 14229, Value:   0, TLB hit: true
Virtual: 57314, Physical:   994, Value:  55, TLB hit: false, PT hit: false 
Virtual: 12659, Physical:  1139, Value:  92, TLB hit: false, PT hit: false 
Virtual: 14052, Physical:  1508, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32956, Physical:  6076, Value:   0, TLB hit: true
Virtual: 49273, Physical:  1657, Value:   0, TLB hit: false, PT hit: false 
Virtual: 50352, Physical:  1968, Value:   0, TLB hit: false, PT hit: false 
Virtual: 49737, Physical:  2121, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15555, Physical:  2499, Value:  48, TLB hit: false, PT hit: false 
Virtual: 47475, Physical:  2675, Value:  92, TLB hit: false, PT hit: false 
Virtual: 15328, Physical:  3040, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34621, Physical:  3133, Value:   0, TLB hit: false, PT hit: false 
Virtual: 51365, Physical:  3493, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32820, Physical:  5940, Value:   0, TLB hit: true
Virtual: 48855, Physical:  3799, Value: 181, TLB hit: false, PT hit: false 
Virtual: 12224, Physical:  8640, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2035, Physical:  4083, Value: 252, TLB hit: false, PT hit: false 
Virtual: 60539, Physical: 12411, Value:  30, TLB hit: false, PT hit: true 
Virtual: 14595, Physical:  4099, Value:  64, TLB hit: false, PT hit: false 
Virtual: 13853, Physical:  1309, Value:   0, TLB hit: true
Virtual: 24143, Physical:  4431, Value: 147, TLB hit: false, PT hit: false 
Virtual: 15216, Physical:  2928, Value:   0, TLB hit: true
Virtual:  8113, Physical:  4785, Value:   0, TLB hit: false, PT hit: false 
Virtual: 22640, Physical: 15984, Value:   0, TLB hit: false, PT hit: true 
Virtual: 32978, Physical:  6098, Value:  32, TLB hit: false, PT hit: true 
Virtual: 39151, Physical: 13551, Value:  59, TLB hit: false, PT hit: true 
Virtual: 19520, Physical:  6976, Value:   0, TLB hit: false, PT hit: true 
Virtual: 58141, Physical:  4893, Value:   0, TLB hit: false, PT hit: false 
Virtual: 63959, Physical:  5591, Value: 117, TLB hit: false, PT hit: true 
Virtual: 53040, Physical:  5168, Value:   0, TLB hit: false, PT hit: false 
Virtual: 55842, Physical:  5410, Value:  54, TLB hit: false, PT hit: false 
Virtual:   585, Physical:  5705, Value:   0, TLB hit: false, PT hit: false 
Virtual: 51229, Physical:  3357, Value:   0, TLB hit: false, PT hit: true 
Virtual: 64181, Physical:  6069, Value:   0, TLB hit: false, PT hit: false 
Virtual: 54879, Physical:  6239, Value: 151, TLB hit: false, PT hit: false 
Virtual: 28210, Physical:  6450, Value:  27, TLB hit: false, PT hit: false 
Virtual: 10268, Physical:  6684, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15395, Physical:  2339, Value:   8, TLB hit: false, PT hit: true 
Virtual: 12884, Physical:   340, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2149, Physical:  7013, Value:   0, TLB hit: false, PT hit: false 
Virtual: 53483, Physical:  7403, Value:  58, TLB hit: false, PT hit: false 
Virtual: 59606, Physical: 10966, Value:  58, TLB hit: false, PT hit: true 
Virtual: 14981, Physical:  9605, Value:   0, TLB hit: false, PT hit: true 
Virtual: 36672, Physical:  7488, Value:   0, TLB hit: false, PT hit: false 
Virtual: 23197, Physical:  7837, Value:   0, TLB hit: false, PT hit: false 
Virtual: 36518, Physical:  8102, Value:  35, TLB hit: false, PT hit: false 
Virtual: 13361, Physical:  8241, Value:   0, TLB hit: false, PT hit: false 
Virtual: 19810, Physical:  8546, Value:  19, TLB hit: false, PT hit: false 
Virtual: 25955, Physical:  8803, Value:  88, TLB hit: false, PT hit: false 
Virtual: 62678, Physical:  9174, Value:  61, TLB hit: false, PT hit: false 
Virtual: 26021, Physical:  8869, Value:   0, TLB hit: true
Virtual: 29409, Physical:  9441, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38111, Physical:  9695, Value:  55, TLB hit: false, PT hit: false 
Virtual: 58573, Physical:  9933, Value:   0, TLB hit: false, PT hit: false 
Virtual: 56840, Physical:  9992, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41306, Physical: 10330, Value:  40, TLB hit: false, PT hit: false 
Virtual: 54426, Physical: 10650, Value:  53, TLB hit: false, PT hit: false 
Virtual:  3617, Physical: 10785, Value:   0, TLB hit: false, PT hit: false 
Virtual: 50652, Physical: 11228, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41452, Physical: 10476, Value:   0, TLB hit: true
Virtual: 20241, Physical: 11281, Value:   0, TLB hit: false, PT hit: false 
Virtual: 31723, Physical: 11755, Value: 250, TLB hit: false, PT hit: false 
Virtual: 53747, Physical: 12019, Value: 124, TLB hit: false, PT hit: false 
Virtual: 28550, Physical: 13190, Value:  27, TLB hit: false, PT hit: true 
Virtual: 23402, Physical: 12138, Value:  22, TLB hit: false, PT hit: false 
Virtual: 21205, Physical: 12501, Value:   0, TLB hit: false, PT hit: false 
Virtual: 56181, Physical: 12661, Value:   0, TLB hit: false, PT hit: false 
Virtual: 57470, Physical: 12926, Value:  56, TLB hit: false, PT hit: false 
Virtual: 39933, Physical: 13309, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34964, Physical: 13460, Value:   0, TLB hit: false, PT hit: false 
Virtual: 24781, Physical: 13773, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41747, Physical: 13843, Value: 196, TLB hit: false, PT hit: false 
Virtual: 62564, Physical:  9060, Value:   0, TLB hit: false, PT hit: true 
Virtual: 58461, Physical:  9821, Value:   0, TLB hit: false, PT hit: true 
Virtual: 20858, Physical: 14202, Value:  20, TLB hit: false, PT hit: false 
Virtual: 49301, Physical:  1685, Value:   0, TLB hit: false, PT hit: true 
Virtual: 40572, Physical: 14460, Value:   0, TLB hit: false, PT hit: false 
Virtual: 23840, Physical: 14624, Value:   0, TLB hit: false, PT hit: false 
Virtual: 35278, Physical: 15054, Value:  34, TLB hit: false, PT hit: false 
Virtual: 62905, Physical: 15289, Value:   0, TLB hit: false, PT hit: false 
Virtual: 56650, Physical: 15434, Value:  55, TLB hit: false, PT hit: false 
Virtual: 11149, Physical: 15757, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38920, Physical: 15880, Value:   0, TLB hit: false, PT hit: false 
Virtual: 23430, Physical: 12166, Value:  22, TLB hit: false, PT hit: true 
Virtual: 57592, Physical: 13048, Value:   0, TLB hit: false, PT hit: true 
Virtual:  3080, Physical: 16136, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6677, Physical:    21, Value:   0, TLB hit: false, PT hit: false 
Virtual: 50704, Physical:   272, Value:   0, TLB hit: false, PT hit: false 
Virtual: 51883, Physical:   683, Value: 170, TLB hit: false, PT hit: false 
Virtual: 62799, Physical: 15183, Value:  83, TLB hit: true
Virtual: 20188, Physical:   988, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1245, Physical:  1245, Value:   0, TLB hit: false, PT hit: false 
Virtual: 12220, Physical:  1468, Value:   0, TLB hit: false, PT hit: false 
Virtual: 17602, Physical:  1730, Value:  17, TLB hit: false, PT hit: false 
Virtual: 28609, Physical:  1985, Value:   0, TLB hit: false, PT hit: false 
Virtual: 42694, Physical:  2246, Value:  41, TLB hit: false, PT hit: false 
Virtual: 29826, Physical:  2434, Value:  29, TLB hit: false, PT hit: false 
Virtual: 13827, Physical:  2563, Value: 128, TLB hit: false, PT hit: false 
Virtual: 27336, Physical:  3016, Value:   0, TLB hit: false, PT hit: false 
Virtual: 53343, Physical:  7263, Value:  23, TLB hit: false, PT hit: true 
Virtual: 11533, Physical:  3085, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41713, Physical:  3569, Value:   0, TLB hit: false, PT hit: false 
Virtual: 33890, Physical:  3682, Value:  33, TLB hit: false, PT hit: false 
Virtual:  4894, Physical:  3870, Value:   4, TLB hit: false, PT hit: false 
Virtual: 57599, Physical: 13055, Value:  63, TLB hit: false, PT hit: true 
