Virtual: 16916, Physical:    20, Value:   0, TLB hit: false, PT hit: false 
Virtual: 54388, Physical: 19316, Value:   0, TLB hit: false, PT hit: false 
Virtual: 42932, Physical: 19636, Value:   0, TLB hit: false, PT hit: false 
Virtual: 46919, Physical: 19783, Value: 209, TLB hit: false, PT hit: false 
Virtual: 58892, Physical: 14860, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8620, Physical: 20140, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38336, Physical: 20416, Value:   0, TLB hit: false, PT hit: false 
Virtual: 64357, Physical:  4965, Value:   0, TLB hit: false, PT hit: true 
Virtual: 23387, Physical: 20571, Value: 214, TLB hit: false, PT hit: false 
Virtual: 42632, Physical: 20872, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15913, Physical: 21033, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15679, Physical: 11839, Value:  79, TLB hit: false, PT hit: true 
Virtual: 22501, Physical: 11493, Value:   0, TLB hit: false, PT hit: true 
Virtual: 37540, Physical: 21412, Value:   0, TLB hit: false, PT hit: false 
Virtual:  5527, Physical: 21655, Value: 101, TLB hit: false, PT hit: false 
Virtual: 63921, Physical: 21937, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62716, Physical:   508, Value:   0, TLB hit: false, PT hit: true 
Virtual: 32874, Physical:  4202, Value:  32, TLB hit: false, PT hit: true 
Virtual: 64390, Physical:  4998, Value:  62, TLB hit: true
Virtual: 63101, Physical: 22141, Value:   0, TLB hit: false, PT hit: false 
Virtual: 61802, Physical: 22378, Value:  60, TLB hit: false, PT hit: false 
Virtual: 19648, Physical: 22720, Value:   0, TLB hit: false, PT hit: false 
Virtual: 29031, Physical: 16487, Value:  89, TLB hit: false, PT hit: true 
Virtual: 44981, Physical: 13237, Value:   0, TLB hit: false, PT hit: true 
Virtual: 28092, Physical:  3516, Value:   0, TLB hit: false, PT hit: true 
Virtual:  9448, Physical: 23016, Value:   0, TLB hit: false, PT hit: false 
Virtual: 44744, Physical: 11208, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61496, Physical: 23096, Value:   0, TLB hit: false, PT hit: false 
Virtual: 31453, Physical: 23517, Value:   0, TLB hit: false, PT hit: false 
Virtual: 60746, Physical: 23626, Value:  59, TLB hit: false, PT hit: false 
Virtual: 12199, Physical:  2727, Value: 233, TLB hit: false, PT hit: true 
Virtual: 62255, Physical: 23855, Value: 203, TLB hit: false, PT hit: false 
Virtual: 21793, Physical: 24097, Value:   0, TLB hit: false, PT hit: false 
Virtual: 26544, Physical: 24496, Value:   0, TLB hit: false, PT hit: false 
Virtual: 14964, Physical: 24692, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41462, Physical: 25078, Value:  40, TLB hit: false, PT hit: false 
Virtual: 56089, Physical: 25113, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52038, Physical: 25414, Value:  50, TLB hit: false, PT hit: false 
Virtual: 47982, Physical: 25710, Value:  46, TLB hit: false, PT hit: false 
Virtual: 59484, Physical: 25948, Value:   0, TLB hit: false, PT hit: false 
Virtual: 50924, Physical: 26348, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6942, Physical: 26398, Value:   6, TLB hit: false, PT hit: false 
Virtual: 34998, Physical: 26806, Value:  34, TLB hit: false, PT hit: false 
Virtual: 27069, Physical: 27069, Value:   0, TLB hit: false, PT hit: false 
Virtual: 51926, Physical: 27350, Value:  50, TLB hit: false, PT hit: false 
Virtual: 60645, Physical:  7397, Value:   0, TLB hit: false, PT hit: true 
Virtual: 43181, Physical: 17581, Value:   0, TLB hit: false, PT hit: true 
Virtual: 10559, Physical: 27455, Value:  79, TLB hit: false, PT hit: false 
Virtual:  4664, Physical: 27704, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28578, Physical: 28066, Value:  27, TLB hit: false, PT hit: false 
Virtual: 59516, Physical: 25980, Value:   0, TLB hit: true
Virtual: 38912, Physical:  3840, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63562, Physical: 28234, Value:  62, TLB hit: false, PT hit: false 
Virtual: 64846, Physical:  2126, Value:  63, TLB hit: false, PT hit: true 
Virtual: 62938, Physical: 28634, Value:  61, TLB hit: false, PT hit: false 
Virtual: 27194, Physical: 28730, Value:  26, TLB hit: false, PT hit: false 
Virtual: 28804, Physical:  1412, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61703, Physical: 22279, Value:  65, TLB hit: false, PT hit: true 
Virtual: 10998, Physical: 12534, Value:  10, TLB hit: false, PT hit: true 
Virtual:  6596, Physical: 29124, Value:   0, TLB hit: false, PT hit: false 
Virtual: 37721, Physical: 29273, Value:   0, TLB hit: false, PT hit: false 
Virtual: 43430, Physical: 29606, Value:  42, TLB hit: false, PT hit: false 
Virtual: 22692, Physical:  2980, Value:   0, TLB hit: false, PT hit: true 
Virtual: 62971, Physical: 28667, Value: 126, TLB hit: true
Virtual: 47125, Physical: 29717, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52521, Physical: 29993, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34646, Physical: 18006, Value:  33, TLB hit: false, PT hit: true 
Virtual: 32889, Physical:  4217, Value:   0, TLB hit: false, PT hit: true 
Virtual: 13055, Physical: 30463, Value: 191, TLB hit: false, PT hit: false 
Virtual: 65416, Physical: 30600, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62869, Physical: 28565, Value:   0, TLB hit: true
Virtual: 57314, Physical: 30946, Value:  55, TLB hit: false, PT hit: false 
Virtual: 12659, Physical: 31091, Value:  92, TLB hit: false, PT hit: false 
Virtual: 14052, Physical: 31460, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32956, Physical:  4284, Value:   0, TLB hit: true
Virtual: 49273, Physical:  8569, Value:   0, TLB hit: false, PT hit: true 
Virtual: 50352, Physical: 14000, Value:   0, TLB hit: false, PT hit: true 
Virtual: 49737, Physical: 31561, Value:   0, TLB hit: false, PT hit: false 
Virtual: 15555, Physical: 31939, Value:  48, TLB hit: false, PT hit: false 
Virtual: 47475, Physical: 32115, Value:  92, TLB hit: false, PT hit: false 
Virtual: 15328, Physical: 32480, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34621, Physical: 17981, Value:   0, TLB hit: true
Virtual: 51365, Physical: 32677, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32820, Physical:  4148, Value:   0, TLB hit: true
Virtual: 48855, Physical: 32983, Value: 181, TLB hit: false, PT hit: false 
Virtual: 12224, Physical:  2752, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2035, Physical: 33267, Value: 252, TLB hit: false, PT hit: false 
Virtual: 60539, Physical:  7291, Value:  30, TLB hit: false, PT hit: true 
Virtual: 14595, Physical: 33283, Value:  64, TLB hit: false, PT hit: false 
Virtual: 13853, Physical: 31261, Value:   0, TLB hit: true
Virtual: 24143, Physical: 33615, Value: 147, TLB hit: false, PT hit: false 
Virtual: 15216, Physical: 32368, Value:   0, TLB hit: true
Virtual:  8113, Physical: 33969, Value:   0, TLB hit: false, PT hit: false 
Virtual: 22640, Physical:  2928, Value:   0, TLB hit: false, PT hit: true 
Virtual: 32978, Physical:  4306, Value:  32, TLB hit: false, PT hit: true 
Virtual: 39151, Physical:  4079, Value:  59, TLB hit: false, PT hit: true 
Virtual: 19520, Physical: 22592, Value:   0, TLB hit: false, PT hit: true 
Virtual: 58141, Physical: 34077, Value:   0, TLB hit: false, PT hit: false 
Virtual: 63959, Physical: 21975, Value: 117, TLB hit: false, PT hit: true 
Virtual: 53040, Physical: 34352, Value:   0, TLB hit: false, PT hit: false 
Virtual: 55842, Physical: 34594, Value:  54, TLB hit: false, PT hit: false 
Virtual:   585, Physical: 17225, Value:   0, TLB hit: false, PT hit: true 
Virtual: 51229, Physical: 32541, Value:   0, TLB hit: false, PT hit: true 
Virtual: 64181, Physical:  4533, Value:   0, TLB hit: false, PT hit: true 
Virtual: 54879, Physical:  3679, Value: 151, TLB hit: false, PT hit: true 
Virtual: 28210, Physical: 34866, Value:  27, TLB hit: false, PT hit: false 
Virtual: 10268, Physical: 14620, Value:   0, TLB hit: false, PT hit: true 
Virtual: 15395, Physical: 31779, Value:   8, TLB hit: false, PT hit: true 
Virtual: 12884, Physical: 30292, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2149, Physical: 35173, Value:   0, TLB hit: false, PT hit: false 
Virtual: 53483, Physical: 35563, Value:  58, TLB hit: false, PT hit: false 
Virtual: 59606, Physical: 26070, Value:  58, TLB hit: false, PT hit: true 
Virtual: 14981, Physical: 24709, Value:   0, TLB hit: false, PT hit: true 
Virtual: 36672, Physical: 35648, Value:   0, TLB hit: false, PT hit: false 
Virtual: 23197, Physical: 35997, Value:   0, TLB hit: false, PT hit: false 
Virtual: 36518, Physical: 14502, Value:  35, TLB hit: false, PT hit: true 
Virtual: 13361, Physical: 36145, Value:   0, TLB hit: false, PT hit: false 
Virtual: 19810, Physical: 36450, Value:  19, TLB hit: false, PT hit: false 
Virtual: 25955, Physical: 36707, Value:  88, TLB hit: false, PT hit: false 
Virtual: 62678, Physical:   470, Value:  61, TLB hit: false, PT hit: true 
Virtual: 26021, Physical: 36773, Value:   0, TLB hit: true
Virtual: 29409, Physical: 37089, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38111, Physical: 37343, Value:  55, TLB hit: false, PT hit: false 
Virtual: 58573, Physical: 15565, Value:   0, TLB hit: false, PT hit: true 
Virtual: 56840, Physical: 37384, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41306, Physical: 24922, Value:  40, TLB hit: false, PT hit: true 
Virtual: 54426, Physical: 19354, Value:  53, TLB hit: false, PT hit: true 
Virtual:  3617, Physical: 10017, Value:   0, TLB hit: false, PT hit: true 
Virtual: 50652, Physical: 18652, Value:   0, TLB hit: false, PT hit: true 
Virtual: 41452, Physical: 25068, Value:   0, TLB hit: true
Virtual: 20241, Physical: 16657, Value:   0, TLB hit: false, PT hit: true 
Virtual: 31723, Physical: 12267, Value: 250, TLB hit: false, PT hit: true 
Virtual: 53747, Physical:  1011, Value: 124, TLB hit: false, PT hit: true 
Virtual: 28550, Physical: 28038, Value:  27, TLB hit: false, PT hit: true 
Virtual: 23402, Physical: 20586, Value:  22, TLB hit: false, PT hit: true 
Virtual: 21205, Physical: 37845, Value:   0, TLB hit: false, PT hit: false 
Virtual: 56181, Physical: 25205, Value:   0, TLB hit: false, PT hit: true 
Virtual: 57470, Physical: 38014, Value:  56, TLB hit: false, PT hit: false 
Virtual: 39933, Physical: 38397, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34964, Physical: 26772, Value:   0, TLB hit: false, PT hit: true 
Virtual: 24781, Physical: 38605, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41747, Physical: 38675, Value: 196, TLB hit: false, PT hit: false 
Virtual: 62564, Physical:   356, Value:   0, TLB hit: false, PT hit: true 
Virtual: 58461, Physical: 15453, Value:   0, TLB hit: false, PT hit: true 
Virtual: 20858, Physical: 39034, Value:  20, TLB hit: false, PT hit: false 
Virtual: 49301, Physical:  8597, Value:   0, TLB hit: false, PT hit: true 
Virtual: 40572, Physical: 39292, Value:   0, TLB hit: false, PT hit: false 
Virtual: 23840, Physical: 39456, Value:   0, TLB hit: false, PT hit: false 
Virtual: 35278, Physical: 39886, Value:  34, TLB hit: false, PT hit: false 
Virtual: 62905, Physical: 28601, Value:   0, TLB hit: false, PT hit: true 
Virtual: 56650, Physical: 13386, Value:  55, TLB hit: false, PT hit: true 
Virtual: 11149, Physical: 40077, Value:   0, TLB hit: false, PT hit: false 
Virtual: 38920, Physical:  3848, Value:   0, TLB hit: false, PT hit: true 
Virtual: 23430, Physical: 20614, Value:  22, TLB hit: false, PT hit: true 
Virtual: 57592, Physical: 38136, Value:   0, TLB hit: false, PT hit: true 
Virtual:  3080, Physical: 40200, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6677, Physical:  6677, Value:   0, TLB hit: false, PT hit: true 
Virtual: 50704, Physical: 26128, Value:   0, TLB hit: false, PT hit: true 
Virtual: 51883, Physical: 27307, Value: 170, TLB hit: false, PT hit: true 
Virtual: 62799, Physical: 28495, Value:  83, TLB hit: true
Virtual: 20188, Physical: 40668, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1245, Physical: 40925, Value:   0, TLB hit: false, PT hit: false 
Virtual: 12220, Physical:  2748, Value:   0, TLB hit: false, PT hit: true 
Virtual: 17602, Physical: 41154, Value:  17, TLB hit: false, PT hit: false 
Virtual: 28609, Physical: 28097, Value:   0, TLB hit: false, PT hit: true 
Virtual: 42694, Physical: 20934, Value:  41, TLB hit: false, PT hit: true 
Virtual: 29826, Physical: 41346, Value:  29, TLB hit: false, PT hit: false 
Virtual: 13827, Physical: 31235, Value: 128, TLB hit: false, PT hit: true 
Virtual: 27336, Physical: 28872, Value:   0, TLB hit: false, PT hit: true 
Virtual: 53343, Physical: 35423, Value:  23, TLB hit: false, PT hit: true 
Virtual: 11533, Physical: 41485, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41713, Physical: 41969, Value:   0, TLB hit: false, PT hit: false 
Virtual: 33890, Physical: 42082, Value:  33, TLB hit: false, PT hit: false 
Virtual:  4894, Physical: 13598, Value:   4, TLB hit: false, PT hit: true 
Virtual: 57599, Physical: 38143, Value:  63, TLB hit: false, PT hit: true 
Virtual:  3870, Physical: 18974, Value:   3, TLB hit: false, PT hit: true 
Virtual: 58622, Physical: 15614, Value:  57, TLB hit: false, PT hit: true 
Virtual: 29780, Physical: 41300, Value:   0, TLB hit: true
Virtual: 62553, Physical:   345, Value:   0, TLB hit: false, PT hit: true 
Virtual:  2303, Physical: 35327, Value:  63, TLB hit: false, PT hit: true 
Virtual: 51915, Physical: 27339, Value: 178, TLB hit: false, PT hit: true 
Virtual:  6251, Physical:  7531, Value:  26, TLB hit: false, PT hit: true 
Virtual: 38107, Physical: 37339, Value:  54, TLB hit: false, PT hit: true 
Virtual: 59325, Physical: 10429, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61295, Physical: 42351, Value: 219, TLB hit: false, PT hit: false 
Virtual: 26699, Physical: 42571, Value:  18, TLB hit: false, PT hit: false 
Virtual: 51188, Physical: 42996, Value:   0, TLB hit: false, PT hit: false 
Virtual: 59519, Physical: 25983, Value:  31, TLB hit: false, PT hit: true 
Virtual:  7345, Physical: 43185, Value:   0, TLB hit: false, PT hit: false 
Virtual: 20325, Physical: 16741, Value:   0, TLB hit: false, PT hit: true 
Virtual: 39633, Physical: 43473, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1562, Physical: 43546, Value:   1, TLB hit: false, PT hit: false 
Virtual:  7580, Physical:  6300, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8170, Physical: 34026, Value:   7, TLB hit: false, PT hit: true 
Virtual: 62256, Physical: 23856, Value:   0, TLB hit: false, PT hit: true 
Virtual: 35823, Physical: 44015, Value: 251, TLB hit: false, PT hit: false 
Virtual: 27790, Physical: 44174, Value:  27, TLB hit: false, PT hit: false 
Virtual: 13191, Physical: 44423, Value: 225, TLB hit: false, PT hit: false 
Virtual:  9772, Physical: 44588, Value:   0, TLB hit: false, PT hit: false 
Virtual:  7477, Physical:  6197, Value:   0, TLB hit: true
Virtual: 44455, Physical: 44967, Value: 105, TLB hit: false, PT hit: false 
Virtual: 59546, Physical: 26010, Value:  58, TLB hit: true
Virtual: 49347, Physical:  8643, Value:  48, TLB hit: false, PT hit: true 
Virtual: 36539, Physical: 14523, Value: 174, TLB hit: false, PT hit: true 
Virtual: 12453, Physical: 45221, Value:   0, TLB hit: false, PT hit: false 
Virtual: 49640, Physical: 45544, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28290, Physical: 34946, Value:  27, TLB hit: false, PT hit: true 
Virtual: 44817, Physical: 13073, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8565, Physical: 20085, Value:   0, TLB hit: false, PT hit: true 
Virtual: 16399, Physical: 45583, Value:   3, TLB hit: false, PT hit: false 
Virtual: 41934, Physical: 38862, Value:  40, TLB hit: false, PT hit: true 
Virtual: 45457, Physical: 45969, Value:   0, TLB hit: false, PT hit: false 
Virtual: 33856, Physical: 42048, Value:   0, TLB hit: false, PT hit: true 
Virtual: 19498, Physical: 22570, Value:  19, TLB hit: false, PT hit: true 
Virtual: 17661, Physical: 41213, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63829, Physical: 21845, Value:   0, TLB hit: false, PT hit: true 
Virtual: 42034, Physical: 46130, Value:  41, TLB hit: false, PT hit: false 
Virtual: 28928, Physical: 16384, Value:   0, TLB hit: false, PT hit: true 
Virtual: 30711, Physical: 16375, Value: 253, TLB hit: false, PT hit: true 
Virtual:  8800, Physical: 46432, Value:   0, TLB hit: false, PT hit: false 
Virtual: 52335, Physical: 46703, Value:  27, TLB hit: false, PT hit: false 
Virtual: 38775, Physical: 46967, Value: 221, TLB hit: false, PT hit: false 
Virtual: 52704, Physical: 30176, Value:   0, TLB hit: false, PT hit: true 
Virtual: 24380, Physical:  1596, Value:   0, TLB hit: false, PT hit: true 
Virtual: 19602, Physical: 22674, Value:  19, TLB hit: true
Virtual: 57998, Physical:  3214, Value:  56, TLB hit: false, PT hit: true 
Virtual:  2919, Physical: 11623, Value: 217, TLB hit: false, PT hit: true 
Virtual:  8362, Physical: 47274, Value:   8, TLB hit: false, PT hit: false 
Virtual: 17884, Physical:  9948, Value:   0, TLB hit: false, PT hit: true 
Virtual: 45737, Physical:  7849, Value:   0, TLB hit: false, PT hit: true 
Virtual: 47894, Physical: 25622, Value:  46, TLB hit: false, PT hit: true 
Virtual: 59667, Physical: 47379, Value:  68, TLB hit: false, PT hit: false 
Virtual: 10385, Physical: 14737, Value:   0, TLB hit: false, PT hit: true 
Virtual: 52782, Physical: 47662, Value:  51, TLB hit: false, PT hit: false 
Virtual: 64416, Physical:  5024, Value:   0, TLB hit: false, PT hit: true 
Virtual: 40946, Physical:  8434, Value:  39, TLB hit: false, PT hit: true 
Virtual: 16778, Physical: 48010, Value:  16, TLB hit: false, PT hit: false 
Virtual: 27159, Physical: 28695, Value: 133, TLB hit: false, PT hit: true 
Virtual: 24324, Physical:  1540, Value:   0, TLB hit: true
Virtual: 32450, Physical:  7106, Value:  31, TLB hit: false, PT hit: true 
Virtual:  9108, Physical: 48276, Value:   0, TLB hit: false, PT hit: false 
Virtual: 65305, Physical: 30489, Value:   0, TLB hit: false, PT hit: true 
Virtual: 19575, Physical: 22647, Value:  29, TLB hit: false, PT hit: true 
Virtual: 11117, Physical: 40045, Value:   0, TLB hit: false, PT hit: true 
Virtual: 65170, Physical: 48530, Value:  63, TLB hit: false, PT hit: false 
Virtual: 58013, Physical:  3229, Value:   0, TLB hit: false, PT hit: true 
Virtual: 61676, Physical: 23276, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63510, Physical: 28182, Value:  62, TLB hit: false, PT hit: true 
Virtual: 17458, Physical: 41010, Value:  17, TLB hit: false, PT hit: true 
Virtual: 54675, Physical: 48787, Value: 100, TLB hit: false, PT hit: false 
Virtual:  1713, Physical: 43697, Value:   0, TLB hit: false, PT hit: true 
Virtual: 55105, Physical:  5185, Value:   0, TLB hit: false, PT hit: true 
Virtual: 65321, Physical: 30505, Value:   0, TLB hit: true
Virtual: 45278, Physical: 49118, Value:  44, TLB hit: false, PT hit: false 
Virtual: 26256, Physical: 49296, Value:   0, TLB hit: false, PT hit: false 
Virtual: 64198, Physical:  4550, Value:  62, TLB hit: false, PT hit: true 
Virtual: 29441, Physical: 49409, Value:   0, TLB hit: false, PT hit: false 
Virtual:  1928, Physical: 33160, Value:   0, TLB hit: false, PT hit: true 
Virtual: 39425, Physical: 43265, Value:   0, TLB hit: false, PT hit: true 
Virtual: 32000, Physical: 49664, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28549, Physical: 28037, Value:   0, TLB hit: false, PT hit: true 
Virtual: 46295, Physical: 50135, Value:  53, TLB hit: false, PT hit: false 
Virtual: 22772, Physical:  3060, Value:   0, TLB hit: false, PT hit: true 
Virtual: 58228, Physical: 34164, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63525, Physical: 28197, Value:   0, TLB hit: true
Virtual: 32602, Physical:  9562, Value:  31, TLB hit: false, PT hit: true 
Virtual: 46195, Physical: 50035, Value:  28, TLB hit: true
Virtual: 55849, Physical: 34601, Value:   0, TLB hit: false, PT hit: true 
Virtual: 46454, Physical: 50294, Value:  45, TLB hit: false, PT hit: false 
Virtual:  7487, Physical:  6207, Value:  79, TLB hit: false, PT hit: true 
Virtual: 33879, Physical: 42071, Value:  21, TLB hit: false, PT hit: true 
Virtual: 42004, Physical: 46100, Value:   0, TLB hit: false, PT hit: true 
Virtual:  8599, Physical: 20119, Value: 101, TLB hit: false, PT hit: true 
Virtual: 18641, Physical:  5585, Value:   0, TLB hit: false, PT hit: true 
Virtual: 49015, Physical: 50551, Value: 221, TLB hit: false, PT hit: false 
Virtual: 26830, Physical: 42702, Value:  26, TLB hit: false, PT hit: true 
